bag,method,side,aggregation,count,mean,std,min,max,mean_abs_error
straight_inward_muktha_right_3,ansisg,right,per_bag,497,1.316794,0.629779,0.611224,2.145720,0.716794
straight_inward_tissany_left_1,ansisg,left,per_bag,946,0.884198,0.273985,0.661447,1.378163,0.284198
straight_inward_tissany_left_2,ansisg,left,per_bag,946,0.920305,0.295832,0.655691,1.380104,0.320305
straight_inward_tissany_left_3,ansisg,left,per_bag,917,0.845470,0.246670,0.656839,1.375833,0.245470
straight_inward_tissany_right_1,ansisg,right,per_bag,527,1.406014,0.731871,0.646618,2.310835,0.806014
straight_inward_tissany_right_2,ansisg,right,per_bag,460,1.270182,0.653640,0.611921,2.192896,0.670182
straight_inward_tissany_right_3,ansisg,right,per_bag,544,1.394013,0.698241,0.648633,2.245831,0.794013
straight_inward_ansis_left (3 runs),ansisg,left,3_runs,2752,0.775799,0.276157,0.578644,1.378245,0.177157
straight_inward_ansis_right (3 runs),ansisg,right,3_runs,1492,1.179941,0.751939,0.144375,2.222412,0.725782
straight_inward_jeryl_left (3 runs),ansisg,left,3_runs,3011,0.777030,0.322130,0.075496,1.376534,0.192345
straight_inward_jeryl_right (3 runs),ansisg,right,3_runs,1837,1.374860,0.766080,0.496676,2.334435,0.809713
straight_inward_muktha_left (3 runs),ansisg,left,3_runs,2686,0.912061,0.252723,0.660464,1.379185,0.312061
straight_inward_muktha_right (3 runs),ansisg,right,3_runs,1680,1.370492,0.648657,0.603635,2.201136,0.770492
straight_inward_tissany_left (3 runs),ansisg,left,3_runs,2809,0.883715,0.274856,0.655691,1.380104,0.283715
straight_inward_tissany_right (3 runs),ansisg,right,3_runs,1531,1.360938,0.699673,0.611921,2.310835,0.760938
straight_inward_ansis_left_1,jeryl,left,per_bag,929,0.804460,0.276173,0.593751,1.377951,0.204817
straight_inward_ansis_left_2,jeryl,left,per_bag,907,0.788832,0.260763,0.613448,1.374790,0.188832
straight_inward_ansis_left_3,jeryl,left,per_bag,916,0.794151,0.267970,0.587951,1.372836,0.195245
straight_inward_ansis_right_1,jeryl,right,per_bag,371,1.133548,0.984647,0.144019,2.427684,0.933252
straight_inward_ansis_right_2,jeryl,right,per_bag,549,1.301579,0.811533,0.250094,2.422344,0.774166
straight_inward_ansis_right_3,jeryl,right,per_bag,572,1.352909,0.825973,0.247476,2.420177,0.807992
straight_inward_jeryl_left_1,jeryl,left,per_bag,973,0.774296,0.292846,0.577771,1.373679,0.177823
straight_inward_jeryl_left_2,jeryl,left,per_bag,1000,0.811158,0.321416,0.568984,1.375846,0.215649
straight_inward_jeryl_left_3,jeryl,left,per_bag,1038,0.806259,0.314947,0.575000,1.371304,0.209968
straight_inward_jeryl_right_1,jeryl,right,per_bag,652,1.548007,0.865423,0.533409,2.893645,0.967843
straight_inward_jeryl_right_2,jeryl,right,per_bag,561,1.374657,0.805773,0.500399,2.808038,0.790078
straight_inward_jeryl_right_3,jeryl,right,per_bag,624,1.494974,0.827580,0.508129,2.887445,0.906537
straight_inward_muktha_left_1,jeryl,left,per_bag,864,0.912218,0.226009,0.723120,1.375234,0.312218
straight_inward_muktha_left_2,jeryl,left,per_bag,896,0.932435,0.236933,0.727852,1.379125,0.332435
straight_inward_muktha_left_3,jeryl,left,per_bag,926,0.952628,0.249356,0.727099,1.375391,0.352628
straight_inward_muktha_right_1,jeryl,right,per_bag,571,1.550304,0.754963,0.629419,2.437118,0.950304
straight_inward_muktha_right_2,jeryl,right,per_bag,612,1.477770,0.738744,0.655333,2.420535,0.877770
straight_inward_muktha_right_3,jeryl,right,per_bag,497,1.433998,0.739515,0.637004,2.437611,0.833998
straight_inward_tissany_left_1,jeryl,left,per_bag,946,0.907506,0.259508,0.668753,1.378041,0.307506
straight_inward_tissany_left_2,jeryl,left,per_bag,946,0.939060,0.281778,0.665801,1.379598,0.339060
straight_inward_tissany_left_3,jeryl,left,per_bag,917,0.871202,0.232544,0.665220,1.375678,0.271202
straight_inward_tissany_right_1,jeryl,right,per_bag,527,1.472277,0.764524,0.665961,2.441931,0.872277
straight_inward_tissany_right_2,jeryl,right,per_bag,460,1.367577,0.736318,0.668207,2.438886,0.767577
straight_inward_tissany_right_3,jeryl,right,per_bag,544,1.328501,0.586688,0.667895,2.416386,0.728501
straight_inward_ansis_left (3 runs),jeryl,left,3_runs,2752,0.795878,0.268516,0.587951,1.377951,0.196363
straight_inward_ansis_right (3 runs),jeryl,right,3_runs,1492,1.279475,0.867475,0.144019,2.427684,0.826692
straight_inward_jeryl_left (3 runs),jeryl,left,3_runs,3011,0.797557,0.310613,0.568984,1.375846,0.201467
straight_inward_jeryl_right (3 runs),jeryl,right,3_runs,1837,1.477053,0.837764,0.500399,2.893645,0.892730
straight_inward_muktha_left (3 runs),jeryl,left,3_runs,2686,0.932893,0.238464,0.723120,1.379125,0.332893
straight_inward_muktha_right (3 runs),jeryl,right,3_runs,1680,1.489474,0.746010,0.629419,2.437611,0.889474
straight_inward_tissany_left (3 runs),jeryl,left,3_runs,2809,0.906281,0.260455,0.665220,1.379598,0.306281
straight_inward_tissany_right (3 runs),jeryl,right,3_runs,1531,1.389732,0.700157,0.665961,2.441931,0.789732
straight_inward_ansis_left_1,median_of_4,left,per_bag,929,0.786796,0.281946,0.591028,1.376791,0.187136
straight_inward_ansis_left_2,median_of_4,left,per_bag,907,0.769183,0.267267,0.611807,1.373824,0.169183
straight_inward_ansis_left_3,median_of_4,left,per_bag,916,0.774681,0.274176,0.586753,1.371733,0.176857
straight_inward_ansis_right_1,median_of_4,right,per_bag,371,1.110107,0.953395,0.144197,2.301071,0.907680
straight_inward_ansis_right_2,median_of_4,right,per_bag,549,1.226113,0.737735,0.250116,2.254857,0.698668
straight_inward_ansis_right_3,median_of_4,right,per_bag,572,1.268516,0.742369,0.247501,2.250351,0.724896
straight_inward_jeryl_left_1,median_of_4,left,per_bag,973,0.754707,0.301340,0.514878,1.373085,0.166165
straight_inward_jeryl_left_2,median_of_4,left,per_bag,1000,0.793878,0.330230,0.527274,1.375427,0.205371
straight_inward_jeryl_left_3,median_of_4,left,per_bag,1038,0.787092,0.324677,0.509561,1.370564,0.198019
straight_inward_jeryl_right_1,median_of_4,right,per_bag,652,1.462981,0.812462,0.498236,2.607843,0.900487
straight_inward_jeryl_right_2,median_of_4,right,per_bag,561,1.325097,0.790070,0.499827,2.521030,0.756189
straight_inward_jeryl_right_3,median_of_4,right,per_bag,624,1.445517,0.810305,0.507759,2.602227,0.877603
straight_inward_muktha_left_1,median_of_4,left,per_bag,864,0.891543,0.238225,0.697106,1.374446,0.291543
straight_inward_muktha_left_2,median_of_4,left,per_bag,896,0.912693,0.249375,0.701442,1.378437,0.312693
straight_inward_muktha_left_3,median_of_4,left,per_bag,926,0.934267,0.262180,0.696998,1.375199,0.334267
straight_inward_muktha_right_1,median_of_4,right,per_bag,571,1.461173,0.688851,0.606182,2.313827,0.861173
straight_inward_muktha_right_2,median_of_4,right,per_bag,612,1.389757,0.687014,0.631130,2.270063,0.789757
straight_inward_muktha_right_3,median_of_4,right,per_bag,497,1.356382,0.679635,0.613776,2.290668,0.756382
straight_inward_tissany_left_1,median_of_4,left,per_bag,946,0.885671,0.272311,0.664797,1.377291,0.285671
straight_inward_tissany_left_2,median_of_4,left,per_bag,946,0.921264,0.293991,0.660585,1.378972,0.321264
